# content digests — recorded state, not law
# path	sha256	words	blob	commit	bind
# A document whose bytes differ from its recorded digest is DRIFT. Intentional change is a
# two-step act: edit the document, COMMIT it, then --record, and say why in the receipt.
# bind is `committed` (the working tree equals HEAD for that path) or `no-repo` (outside
# version control, so no commit can hold it — counted and named, never silent).
# --record REFUSES a changed document that no commit holds: the working tree differs from
# HEAD, or the document sits outside version control entirely. It keeps the previous row
# and exits 1, so a change the repository does not hold cannot be blessed by re-recording
# the surface. A first pin of an out-of-git document is allowed (nothing is overwritten).
# --record never drops a digest for a file that is gone: it carries the old digest forward,
# so a deletion cannot be laundered by re-recording the surface without it.
# recorded: 2026-09-21 08:05
Projects/deepseek-harness/README.md	a51ca4bff273518c3f292b2e6800f5f2de76170ae6f5919fc48e4a0d82b0da1e	238	9f89db3d4502dea4a0d181799164f304d4976740	e32dad24470ba6c333a4df1b19dc8e24b1960fe6	committed
Projects/deepseek-harness/docs/AGENTS.md	4113f534c321dad461475d8ddddc8cfebe57f669f9d9e894d92972f67dda91c4	1317	bb248a90421c62c8c44eb051852c07ac15131811	e32dad24470ba6c333a4df1b19dc8e24b1960fe6	committed
Projects/deepseek-harness/packages/AGENTS.md	963fb95f390bc420e4fa70d5e016ed1fbff629214fb2c5143b95e4b747401e86	717	f0c49d55e5965a0e4b02ef7d5f0e2f05a1c36daa	e32dad24470ba6c333a4df1b19dc8e24b1960fe6	committed
Projects/deepseek-harness/packages/README.md	eda915e0ecd6855e0dadbbdb25148a9a04ec83ab5ccd4bf8754f97d633a44b79	911	9c298d3f2426bab92a6d602495d836ef8ee9fb44	e32dad24470ba6c333a4df1b19dc8e24b1960fe6	committed
Projects/dyno-pony/AGENT-ERGONOMICS.md	62669b8d868d97f8d91892bad2957296397ac2bd7e257585d300c445a1cafbc1	1277	8a77acd86a7d9c352b3ef4a5b125b4ffd3f0ddd9	b5c52b69c0b60b682404575a4d80263b2d169a52	committed
Projects/dyno-pony/README.md	ccd4b6ebba9a955c2fd99ccaa0349213480db5feb6aeb85a89a2bff26c10ca03	794	a8f64327b0997cb30b8cd930034f5773c569ce96	b5c52b69c0b60b682404575a4d80263b2d169a52	committed
Projects/dyno-pony/PROTECTED.md	d76c03971fd546a9dbe1a11818ea530e9a18201be8bc12a4da313a3e3f39080c	586	929a7f6ad9d00d5514ac37573391526f70f1ea74	b5c52b69c0b60b682404575a4d80263b2d169a52	committed
Projects/knowledge-factory/README.md	80dc2f871931d3ded72b0cd31e86c12cd06b3912efbd7ad9aaed27ed565fb74e	160	4115c399bd2bd684a5f74dbe7c920c2e9a608a09	64b7291705f98f32c3a3339edff552fc5c148eb1	committed
Projects/knowledge-factory/design.md	86f00db163ce7ee0deb512c61c180bba157757726426a6ce82489001d68e34ef	6369	82e430427f25a6b952a69b897705d7fb29a95bed	64b7291705f98f32c3a3339edff552fc5c148eb1	committed
Projects/knowledge-factory/PROTECTED.md	2f0e7573bb6e012e116e66ea671135399184117e27dd9c1412c83ce8fd83ba05	228	7ed2d2ce58f0e3858a481fa9beb82f756f587d3d	64b7291705f98f32c3a3339edff552fc5c148eb1	committed
crew-research-council/README.md	7f773a551cf14325430cf7bfb0af1b98a877e595fb5140de84dff4d97e6f58d2	344	8167aaecad23bcad39baef7a7f851af87ef7ed3c	726049b03b8c85ba71275643aa80234648ff21d8	committed
crew-research-council/PROTECTED.md	a12092df17090b6660206caf31e72d61b7e7d3e28663eb85bd5925cc743d1bf3	370	5b8cc7829dc0ac59e2fd2f28c83d3250859cd31c	726049b03b8c85ba71275643aa80234648ff21d8	committed
anatomy-lab/README.md	f7b6d68d80fd2506ee2375e817f99025dd9bf2021faaafc9a527b120ebc303cf	200	-	-	no-repo
anatomy-lab/PROTECTED.md	99b4cec7621818caa901847f4194b5e83098a39d8517f6309efb75aa453e1e0b	393	-	-	no-repo
